text,coarse label
Vilket är det minsta landet i Afrika?,LOC
"Vem myntade termen cyberspace i sin roman ""Neuromancer""?",HUM
Vilken ålder följde bronsåldern?,ENTY
Vad är hennes yrke?,HUM
Vad är det fullständiga namnet på mannen som uppfann den mångfärgade spelkuben som har 42|3 kvintillioner potentiella kombinationer?,HUM
Vad betyder ordet LASER?,ABBR
"Vad betyder namnet ""Anthony""?",DESC
Vem var Lauren Bacalls första make?,HUM
Vad är en rhomboideus minor?,DESC
Hur många händer använder Björn Borg när han slår forehand?,NUM
Hur många människor dog på D-dagen?,NUM
"Vilken amerikansk kongressledamot sade: """"Behåll tron| älskling"""".",HUM
Vem skapade karaktären Scrooge?,HUM
Vad är studentpopulationen vid University of Massachusetts i Amherst?,NUM
Var ligger Windsor Castle?,LOC
När nådde Dow Jones först 1000?,NUM
Varför rekryterades människor för Vietnamkriget?,DESC
Vilket parti var Winston Churchill medlem i?,HUM
Vilket amerikanskt basebollag sämsta placering mellan 1926 och 1964 var fjärde?,HUM
Var kan jag hitta namnen på alla 15 Pokémon?,LOC
Vilken stat bor Martha Stewart i?,LOC
Vilken späckhuggare dog vid Sea World av en svampinfektion?,ENTY
Vilka är Benelux-länderna?,LOC
Var är den förstenade skogen?,LOC
Vad är ett språk som talas av Sioux?,ENTY
Var ligger Tornado Alley?,LOC
"Vem var författaren till ""John Browns kropp""?",HUM
"Vilken amerikansk poet skrev: ""Bra staket gör bra grannar""?",HUM
Vilken stat i USA har flest svarta?,LOC
Varför är elbilar mindre effektiva i nordost än i Kalifornien?,DESC
Vad var Mandy Rice-Davies yrke?,HUM
Hur heter staden Maurizio Pellegrin bor?,LOC
Vem målade Sixtinska kapellet?,HUM
Namnge de olika utklädda personorna till Dr. Henry Pym.,HUM
"Vilken hundras var ""Little Rascals"" -hunden?",ENTY
Vad är levnadsförhållandena på Kuba?,DESC
Vilken färg har skolbussar?,ENTY
Vilken är den äldsta webbplatsen på Internet?,LOC
Vilka händelser hände den 26 januari 1978?,ENTY
Vilka upptäcktsresande följde Columbus till Amerika?,HUM
Vem är skådespelerskan Goldie Hawns nuvarande skådespelarpojkvän?,HUM
Vem förbjöd Peter Rose från baseboll för att ha satsat på spel?,HUM
Vilka är de sju dygderna?,DESC
"Vilket annat namn var ""Little Rascals"" kända som?",ENTY
När var San Francisco-branden?,NUM
Vad är en rädsla för mat?,ENTY
Hur många kasinon finns i Atlantic City| NJ?,NUM
Vilket år slutade Vietnamkriget?,NUM
Vad heter Richard Nixons två döttrar?,HUM
Vad är ordet för brutet glas eller skarpa stenar inbäddade i cement ovanpå en vägg?,ENTY
Vad är kromosomnumret för en elefant?,NUM
Vilken organisation grundades av pastor Jerry Falwell?,HUM
Vilken är den längsta floden i världen?,LOC
Vilken läsk annonserar Madonna för?,ENTY
Vilket företag köps av Yahoo och hur mycket är affären värd?,HUM
När uppfördes Berlins Brandenburggrind?,NUM
Hur många dubbla ord-poäng finns det på ett Alfapetspelbräde?,NUM
Vilket år undertecknade Tyskland sin icke-angreppspakt med Sovjetunionen?,NUM
Vilken bergskedja korsar av den högsta järnvägen i världen?,LOC
"Varför hette de amerikanska soldaterna i första världskriget ""Doughboys""?",DESC
Vem fick smeknamnet The Little Corporal?,HUM
Hur många CD-skivor har Garth Brooks sålt?,NUM
Namnge fartyget som används av Atari Force i DC-serierna.,ENTY
Var är de ledande medicinska grupperna specialiserade på lungsjukdomar?,LOC
Hur kan jag hitta stavning- och skiljeteckenövningar för min 6:e klassare online?,DESC
Vilken är Indiens heliga flod?,LOC
Vilket är Stefan Edbergs hemland?,LOC
Vilken är den enda körteln hos människor som kan regenerera sig själv?,ENTY
Hur många Gutenberg-biblar finns det?,NUM
Namnge det största landet i Sydamerika.,LOC
Vilket astronomiskt fenomen äger rum i januari 1999?,ENTY
Vilken information kan du ge mig om Fairground Park i St. Louis,DESC
Vad var den amerikanska folkhjälten John Chapmans smeknamn?,HUM
Vad är skillnaden mellan en median och ett medelvärde?,DESC
Vilken var den bästa filmen i april 1998?,ENTY
Vad orsakar åska?,DESC
"Vilken författare kallade fotografen Yousuf Karsh ""den blygaste mannen jag någonsin träffat""?",HUM
Vilken är den största klockan| diametervis| i Europa?,ENTY
Vilken växt är rom gjord av?,ENTY
Vilket land kommer Godiva-choklad från?,LOC
Namnge poeten för dikten som börjar: Jag vet inte mycket om gudar; men jag tror att floden är en stark gud och otämd?,HUM
Vilken krydda såldes en gång som ett patentläkemedel?,ENTY
Vilken amerikansk stat registrerar minst nederbörd?,LOC
Varför gick världen in i en global depression 1929?,DESC
Vad var archy och mehitabel?,DESC
"Vilken stad i Texas fick sitt namn från spanska för ""gul""?",LOC
Vilka är kemikalierna som används i glödstift?,ENTY
från vilket land härstammar Nilen?,LOC
Vilken färg har tennisbollar?,ENTY
Vilken domare kallade sig The Law West of the Pecos?,HUM
Vilken ursäkt gav Nato-folket för att attackera den kinesiska ambassaden?,DESC
Vem var Costa Rica president 1994?,HUM
Vilket sportevenemang ska Meyer Wolfsheim ha fixat i The Great Gatsby?,ENTY
Vilket land har den bästa defensiva positionen i brädspelet Diplomati?,LOC
Vilka två länder delar Khyber Pass?,LOC
Vem var ordförande för senatens utvalda kommitté som försökte komma till botten av Watergate?,HUM
Vad är ursprunget till efternamnet Braun?,DESC
Vilket kortspel har variationer som heter Canfield| Klondike och Spider?,ENTY
Vad är Australiens dag?,DESC
Vilket däggdjur i Nordamerika har världens längsta livslängd för sin storlek?,ENTY
Vad var Chivington-massakern?,DESC
Vilken skådespelare spelade huvudrollen i 1980:s Blue Lagoon| The Pirate Movie från 1982 och A Night in Heaven från 1983?,HUM
Hur många home runs hade Lou Gehrig under sin karriär?,NUM
I vilken stad ligger Sinn Feins huvudkontor?,LOC
Var hittar jag information om George Bush?,LOC
Vem är rösten för Miss Piggy?,HUM
Vad heter dialogcirkeln i tecknade serier?,ENTY
Vad betyder ordet camaro| från GM-bilen Camaro?,DESC
Vem ersatte Bert Parks som värd för The Miss America Pageant?,HUM
Hur många pojkar spelar spelet i Winslow Homers 1872-målning Snap the Whip?,NUM
Vad är AIM-54C Phoenix?,DESC
När klipps får?,NUM
Vilken sport är Chris Jogis en toppspelare av?,ENTY
Vilken är den näst största ön i världen?,LOC
Vad är definitionen av en låg ö?,DESC
Vilket århundrade bor Captain Video i?,NUM
Vilka typer av vattenföroreningar finns det?,ENTY
Hur många astronauter bemannade varje Project Mercury-flyg?,NUM
Vilken läsk skulle ge mig det största intaget av koffein?,ENTY
Vad heter en golfbana i Myrtle Beach?,ENTY
Vilka är några av de viktiga historiska händelserna på 1990-talet?,ENTY
Namnge den enda kvarvarande trilogin av klassiska grekiska pjäser.,ENTY
Var ligger Logan flygplats?,LOC
Vad är skillnaden mellan neoklassisk konst och romantisk konst?,DESC
Vem var den första personen som infördes i US Swimming Hall of Fame?,HUM
Vilken golfare har kallats Ohio Fats och Blobbo?,HUM
Vem mördade Leno och Rosemary LaBianca den 1 augusti?,HUM
Vad är den genomsnittliga kostnaden för fyra års läkarutbildning?,NUM
Vad skapar Gud i Bibelns första mening?,ENTY
Vilken av följande män var inte gift med Rita Hayworth?,HUM
Vad är det aktuella biljettpriset från Kairo till Barbados?,NUM
Vad betyder Mc när det används som ett prefix i irländska efternamn?,ABBR
Hur hittar du oxidationsnummer?,DESC
Vad är det statliga smeknamnet för Mississippi?,LOC
Vad är Black Hills| South Dakota mest känt för?,DESC
Vilket bomberrombom från 1966 tog astronauter tillbaka till förhistorisk tid?,ENTY
Hur många studenter går på University of Massachusetts?,NUM
"Vem sa| ""Jag ska återvända"" under andra världskriget?",HUM
Vilka helgdagar firas i Irland?,ENTY
Vem porträtterade Etta Place| följeslagare till Butch Cassidey och Sundance Kid?,HUM
Vilka är de grekiska siffrorna?,DESC
Vad heter templet som ligger nära huvudstaden Laos?,LOC
Vad är en rädsla för sömn?,ENTY
Vilket bilrace var Wilbur Reed den första som vann tre gånger?,ENTY
Vilka är de vanligaste avelsfåglarna i USA?,ENTY
Vad organiserades som en konfedererad veteraners sociala klubb i Pulaski| i Tennessee| 1866?,ENTY
Hur hittar man kriminella register på Internet?,DESC
Var är skådespelerskan| Marion Davies| begravd?,LOC
Vad är ett exempel på ett faktiskt fall av att använda det fjortonde ändringsförslaget?,DESC
Vem var Charlies parfymkvinna?,HUM
"Vem porträtterade ""Rosanne Rosanna-Dana"" i tv-programmet ""Saturday Night Live""?",HUM
Vilken sångare blev förtvivlad över Freddie Prinzes död| slutade med showbranschen och slutade sedan med verksamheten?,HUM
När invaderade irakiska trupper Kuwait?,NUM
"Vad hänvisade Mark Johnson till när han sa: ""Jag kan fortfarande inte tro det - vi slog ryssarna""?",ENTY
"Vilken bil kördes i 1990-versionen av ""Smokey and the Bandit""?",ENTY
Vad var bakgrundssånggruppen för Roy Rogers?,HUM
Vilken berömd sjungande cowboy äger baseballlaget California Angels?,HUM
Vilken film från 1915 var den första som tjänade 5 miljoner dollar?,ENTY
"Var kom termen ""86"" ifrån?",DESC
Vad får någon att vara kittlig?,DESC
Vad är sannolikheten för att minst 2 av 25 personer ska ha samma födelsedag?,NUM
Hur många kanadensare utvandrar varje år?,NUM
Varför tog flera San Diego-skolor bort äpplen från studentmenyerna?,DESC
Vilket musikinstrument spelade Sherlock Holmes?,ENTY
Vem var Gerald Fords vice president?,HUM
"Vad är ""den tvättade vodkan""?",DESC
Hur många olika språk talas i Europa?,NUM
Vilket år tilldelades Desmond Mpilo Tutu Nobels fredspris?,NUM
"Vad är en ""dricksandningsapparat"" bättre känd som?",ENTY
Vem uppfann batterier?,HUM
Varför rekommenderar receptböcker att börja med kallt vatten när du kokar något?,DESC
Var kan jag köpa en bra snowboard för mindre än $200?,LOC
Vilken titel antog Suzette Charles i två månader 1984?,HUM
Vad var den ökända pseudonymen för Peter Sutcliffe?,HUM
Vad är Smokey The Bears mellannamn?,ENTY
Vad är Nicholas Cages yrke?,HUM
Vilken brittisk tv-serie presenterade Emma Peel?,ENTY
Vilken Londongata är den brittiska journalistikens hem?,LOC
Vilken tragedi drabbade staden Dogtown 1899?,ENTY
Vad är den obefläckade befruktningen?,DESC
Vad heter alla amerikanska flottans hangarfartyg?,ENTY
Vilket format var VHS huvudkonkurrent?,ENTY
Vad är Candlemas Day?,DESC
I vilken stad ligger den berömda Markusplatsen?,LOC
"Vad kallar Ouarterly Review of Doublespeak ett ""inoperativt uttalande""?",ENTY
Hur mycket uppgick minimilönen till 1991?,NUM
Var ligger Tufts University?,LOC
Vad är en pyroteknisk skärm?,DESC
Hur får jag reda på jobb?,DESC
Vilken japansk tillverkare är känd för både pianon och motorcyklar?,HUM
Vad är argons kemiska reaktivitet?,NUM
Hur många motorer har en Boeing 737?,NUM
"Vad är ursprunget till termen ""The Brooklyn Side"" i bowling?",DESC
Vad är en rädsla för att bli kall?,ENTY
Hur lång var Maos långa marsch 1930?,NUM
Vilket nätspel ser sina kvinnliga amatörvärldsmästare ta emot Uber Cup?,ENTY
Vilken fyrbent varelse sade en Cornell University-studie att skulle göra människans bästa följeslagare i rymden?,ENTY
Vad väger en tesked materia i ett svart hål?,NUM
Vad satte brittiska företag 1750 ton te i 1982?,ENTY
Vilken provins ligger Edmonton i?,LOC
Hur kan jag ta reda på hur mycket inkomstskatt som betalas av socialförsäkringsinkomster på 1998 års inkomstskatt?,DESC
Vem efterträdde Sonny Liston som världsmästare i tungviktsboxning?,HUM
Vad är Kaliforniens statsfågel?,ENTY
Vad är Martin Luther King Jr.s födelsedag?,NUM
Namnge de olika superlag som ängeln har tillhört.,HUM
Hur utför Zatanna sin magi i DC-serier?,DESC
Vad heter Jacques Cousteaus forskningsfartyg?,ENTY
Vilken president skickade en kryssare för att bära Charles Lindbergh hem efter sin episka flygning?,HUM
Vems video heter Shape Up with Arnold?,HUM
I vilken Kevin Costner-film spelade Sioux Indians en roll?,ENTY
Hur många James Bond-romaner finns det?,NUM
"Hur får du en dejt med ""Hooters"" -tjejerna?",DESC
Vilken fågel kan simma men inte flyga?,ENTY
Hur kan jag få en seriefigur som jag skapat upphovsrättsskyddad och publicerad?,DESC
Hur stor är den arktiska tillflyktsorten för att bevara unikt djurliv och vildmarksvärde på Alaskas nordkust?,NUM
Vad är Plc?,DESC
Hur mycket el behöver hjärnan för att fungera?,NUM
Hur många tunnland på en mil?,NUM
"I vilken Dickens-roman för David med sig meddelandet ""Barkis är villig"" till Peggy?",ENTY
Vad är en hyperlänk?,DESC
Vem är tvillingbror till den grekiska gudinnan Artemis?,HUM
Var kom marijuana ifrån?,DESC
Vad är inkomsten per capita i Colombia| Sydamerika?,NUM
Vilken roman har Big Brother vakandes?,ENTY
Hur många Grammys vann Michael Jackson 1983?,NUM
Vad betyder Elysium?,DESC
Vilken är den äldsta webbplatsen på Internet?,LOC
Vad är Shalom?,DESC
Vilken var favoritsporten i Tom Wolfes The Pump House Gang?,ENTY
"Vilket organiskt bränsle använder myrboarna en ""slane"" för att skära?",ENTY
Vad är medelåldern för en medlem i teamet som arbetade med Manhatten-projektet?,NUM
Vilket land fick alla Nobelpriserna som delades ut 1976?,LOC
Hur blir man av med hackspett?,DESC
Hur många stavelser finns det i en rad med hendekasyllabisk poesi?,NUM
Vilken läsk uppträdde först i Old Corner Drug Store i Waco| Texas| 1885?,ENTY
Vad besitter Storbritanniens på det kinesiska fastlandet?,LOC
Vem var Amerikas första offentliga fiende nr 1?,HUM
Hur många barn under 18 år är offer för någon form av fysiskt missbruk varje år?,NUM
Vad är ursprunget till tackanteckningar?,DESC
Vad uppfann Jimmy Stewart?,ENTY
Vilken generation är jag i?,ENTY
Vad är en rädsla för helvetet?,ENTY
Vem är Dear Abby?,HUM
Vem bor på 24 Sussex Drive| Ottawa?,HUM
Vad är Jell-O gjord av?,ENTY
Vem var Monet?,HUM
Vilka är de enda två stater som införlivar den konfedererade stridsflaggan i sina flaggor?,LOC
Hur gör man panorama-sockerägg till påsk - de med scenen inuti?,DESC
Vad är den södra maträtten gjord av grisars tunntarmar?,ENTY
Var ligger Guam?,LOC
Vem var den berömda dörr-till-dörr borstsäljaren?,HUM
Vad är verkställaren i ett testamente?,DESC
Vilken oundviklig leverantör av bakgrundsmusik firade sitt 5-årsjubileum i juli 1984?,HUM
Hur många människor i Amerika snarkar?,NUM
Vem försöker alltid få hyran från Andy Capp?,HUM
Vilken läsk är mest koffeinhaltig?,ENTY
Vem gav Jackie Kennedy som uppdrag att skriva The Death of a President?,HUM
Vilket läkemedel används ofta för att behandla aids?,ENTY
Hur många stjärnor finns det på Sovjetunionens flagga?,NUM
Vad är skillnaden mellan mikroprocessorer och mikrokontroller?,DESC
Vem försökte skapa The Great Society?,HUM
Vilka är turistattraktionerna i Reims?,LOC
Vad är längden på pärlhalsband?,NUM
"Vem sa: ""Soldater vinner striderna och generalerna får krediten""?",HUM
Vad är beviset på att krukväxter metaboliserar cancerframkallande ämnen?,DESC
"Vad fick motpiloten för Enola Gay att bara skriva in ""My God"" i sin logg?",DESC
Hur lång tid tar den typiska höna att lägga 19 dussin ägg?,NUM
Vilken stad i Colorado äger sin egen glaciär?,LOC
"Vad är historien om ""toasten""?",DESC
Vad hette den protestantiska revolten mot påvens överlägsenhet?,ENTY
Vad är en arabisk rem?,DESC
Hur mycket kostar det| genomsnitt eller vad som helst som är tillgängligt| att producera och skicka skräppostkataloger i USA?,NUM
Vem är FN: s nuvarande generalsekreterare?,HUM
Vem tillhandahåller telefontjänster i Orange County| Kalifornien?,HUM
Var har marsvin sitt ursprung?,LOC
Vilka två länders kustlinjer gränsar till Biscayabukten?,LOC
Varför rakade egyptierna ögonbrynen?,DESC
Vilken organisation tilldelade Mr. Waverly agenter för?,HUM
När uppfanns slinkyn?,NUM
Vad är karaktärernas namn i Scooby-Doo-serien?,HUM
Vad är en rädsla för kyla?,ENTY
Vad var Eduard Shevardnadzes jobb i Sovjetunionen?,HUM
Vad orsakar rost?,DESC
Vilken är den enda Dick Tracy-skurken som dyker upp tre gånger?,HUM
"Vad var monsteret i Spielbergs film ""Jaws""?",ENTY
Vilken färg har en räv på vintern?,ENTY
Vad betyder namnen Neil| Mary och Anthony?,DESC
Vilken europeisk huvudstad firade sitt 2 000-årsjubileum 1951?,LOC
"Varför säger människor på Michagins övre halvö ""va??",DESC
Vilken blomma målade Vincent Van Gogh?,ENTY
Vilket land var omgivningen för You Only Live Twice?,LOC
Vad var Thatchers opininonssiffror efter 10 år vid makten?,NUM
Nalle Puh är vilken typ av djur?,ENTY
Vad var den första Funk'N Lata| brasilianska gruppen| framgång?,DESC
Vad är en handdator?,DESC
Vad gjorde John Hinckley för att imponera på Jodie Foster?,DESC
Vad är Larry Kings jobb?,HUM
Hur många kalorier finns i en tomat?,NUM
I vilken stat grundades den första samskolan?,LOC
Vilket krig såg en sjöstrid mellan lyxfartygen Cap Trafalgar och Carmania?,ENTY
Vad är behandlingen för depression?,ENTY
Vad är en rädsla för slem?,ENTY
Vilket land i Latinamerika är det största?,LOC
På vilken hawaiiska ö ligger Pearl Harbor?,LOC
Vilka fjädrade seriefigurer känner jugoslaverna som Vlaja| Gaja och Raja?,HUM
Vilken film från Marx Brothers handlar om en stulen målning?,ENTY
Vad var ovanligt med Alexandras framträdande i Josie and the Pussycats?,DESC
"Vad är ursprunget till ordet ""sinne""?",DESC
När föddes Dick Clark?,NUM
Vilket spel är dödligt för någon över 21?,ENTY
Hur många människor dör av tuberkulos?,NUM
Vad hände med Moon Maiden?,DESC
Vilken stad är wiener schnitzel namngiven efter?,LOC
Vad är Ural?,DESC
Hur kan du stoppa klåda från Poison Ivy?,DESC
Vilken öken har de högsta sanddynerna?,LOC
Vilka två länder innehåller Sierra Nevada-bergen?,LOC
Hur säger du till dina föräldrar att du träffar en äldre man?,DESC
Hur länge skulle TV-uppdraget från Star Treks Enterprise vara?,NUM
Vilket telefonnummer kan jag ringa för att få ett träd planterat?,NUM
"När blev ""Star-Spangled Banner"" nationalsången?",NUM
Vem var Lacan?,HUM
Vilka är de fyra naturliga hjälpmedel som används vid ridning?,ENTY
Vilket kontinentnamn visas i det övre vänstra hörnet av en Budweiser-etikett?,LOC
Vem var krigsminister i inbördeskriget under slaget vid Gettysburg?,HUM
Vem slog Bobby Fischer för att vinna världsmästerskapet i schack?,HUM
Hur utrotar du bin som finns i väggarna i ditt hem?,DESC
Var kan jag få information och statistik om länder och nationer?,LOC
Namnge ett gaeliskt språk.,ENTY
Vilken dag är 13 augusti 1971?,NUM
Var kan jag hitta en lista över alla företag i Amerika som erbjuder en direkt aktieköpsplan?,LOC
Hur skickar man ett filmavskrift till Hollywood så att det kan produceras till en film?,DESC
Vilken litteraturklassiker fokuserar på sökandet efter en guldskatt värt 7|0 pund?,ENTY
Vad är ursprunget till blått för pojkar och rosa för flickor?,DESC
Vad heter Michelangelo-målningen som visar två händer med fingrarna vidrörande?,ENTY
Hur stor är en kvart?,NUM
Vad är Hub of London?,DESC
Jude Law spelade i vilken film?,ENTY
Vad orsakar panikattacker?,DESC
Vad var fyllnaden i de första golfbollarna?,DESC
Vilket läkemedel blev Sigmund Freud fascinerad av när han experimenterade med behandlingen av neurasteni?,ENTY
Vilket land var en hemsk skönhet för Leon Uris?,LOC
Vad är tyfusfeber?,DESC
Var kan jag köpa en hatt som den typ Jay Kay från Jamiroquai bär?,LOC
Vad är tvillingstäderna?,DESC
Vad heter Beethovens 9:e symfoni?,ENTY
Namnge advokaten för Randy Craft.,HUM
"Vilka frukostflingor gav dig ""det bästa varje morgon""?",ENTY
Vad står fru| fröken och fru för?,ABBR
Vad är Homelite Inc.-hemsidan?,LOC
Vilket explosivt ämne får du genom att blanda kol| svavel och saltpeter?,ENTY
Vilken bergig region i världen är Lhasa Apso-hunden infödd till?,LOC
Vilken cancer är ofta förknippad med aids?,ENTY
Hur lång tid tar det ljuset att nå jorden från solen?,NUM
Vem bor på 39 Stone Canyon Way?,HUM
Hur många frågor är det här?,NUM
Vem spelade Humpty Dumpty i filmen Alice in Wonderland från 1933?,HUM
Vem är Karenna Gore| Al Gores äldsta dotter| gift med?,HUM
Vem spelade titelrollen i I Was a Teenage Werewolf?,HUM
Varför finns det oliver i martini?,DESC
Under vilket år fick Hitler makten i Tyskland?,NUM
"Vilket år målade Rossetti ""Beata Beatrix""?",NUM
Vilket skivbolag producerade filmen The Wiz från 1978?,HUM
Var kan jag hitta information om turné i Filippinerna?,LOC
Vad spelade The Gas House Gang?,ENTY
Hur många kvadratmeter är Bill Gates hem?,NUM
Vad heter skådespelaren Rex Harrisons son| som spelade i en blygsamt populär TV-show under slutet av 1960-talet?,HUM
Vad är den högsta romerska siffran?,DESC
Vad är den mest populära formen av bro?,ENTY
Vem var spisens uppfinnare?,HUM
Vilken komiker har ett legendariskt rykte för att stjäla skämt?,HUM
Var kan jag hitta information om cyklonen som drabbade New Jersey den 28/8/1941?,LOC
Boxing Day firas på vilket datum?,NUM
Vilka är de första tio ändringarna som godkänts?,ENTY
Vad är en annan term för det smärtsamma handledssyndromet?,ENTY
Vad är skillnaden mellan snö och isregn?,DESC
Hur är den nya Ford Econoline van F25 V1-motorn?,DESC
Vem var kungen som tvingades gå med på Magna Carta?,HUM
Vem blev den första hedersmedborgaren i USA?,HUM
Vilket spel är Garry Kasparov riktigt bra på?,ENTY
Var var Richard Nixon när Gerald Ford blev president?,LOC
Var rankas USA bland världsländerna i område?,NUM
Vilken roman introducerade Ian Fleming James Bond i?,ENTY
Vad var målet för M3-tillväxt 1992?,NUM
"Vilket basebollag kallades rutinmässigt ""dem bums"" av sina frustrerade fans?",HUM
Namn på forskare vars bokstavliga översättningar från det kinesiska och japanska Ezra-pundet berodde på?,HUM
När började Israel överlämna Gazaremsan och Jeriko till PLO?,NUM
Vilka är de största skillnaderna i katolska och metodistiska religioner?,DESC
Namnge On Stage-karaktären vars ansikte aldrig sågs.,HUM
Hur mycket energi släpps ut när syre och väte blandas?,NUM
Vilket är det bästa Internetföretaget att gå in på?,HUM
Vad betyder Venus Retrograde?,DESC
"Vem är känd som ""världens äldsta tonåring""?",HUM
Vilka är de största bryggerierna i världen?,LOC
Vad betyder Las Vegas?,DESC
"Vad betyder ordet ""meta""?",DESC
Vad håller molnen i luften?,ENTY
Vad är termen för en fyrsidig figur?,ENTY
Ray Charles spelar vilket instrument?,ENTY
Vilken country- och westernsångare kallas The Silver Fox?,LOC
Vilken byggnad är lämpligt nog avbildad på baksidan av 1-dollarsedeln?,LOC
Vad är forskarskola?,DESC
Vad är skillnaden mellan pizza i New York-stil och Chicago-stil?,DESC
Vilken basebollägare och sjöman är känd som The Mouth of the South?,HUM
Vilken typ av vadslagning används i hästkapplöpning?,ENTY
Vilken typ av hatt bär Bat Masterson?,ENTY
Vem var med Patricia Hearst natten hon kidnappades?,HUM
Vad är Viking Prince förnamn?,HUM
Vad betyder förkortningen cwt.?,ABBR
I vilken deodorantreklam hade hyresgäster angränsande medicinskåp?,ENTY
Var ligger Rider College?,LOC
Vilken boxares livshistoria heter Raging Bull?,HUM
Av vilken anledning slutade vissa skolor i San Diego servera äpplen?,DESC
"Vem rådde lyssnare att ""se USA i din Chevrolet""?",HUM
Var låg den första restaurangen?,LOC
Var kan jag hitta ett fullständigt skriftligt utkast till CTBT?,LOC
Hur många hästar dog under inbördeskriget?,NUM
Hur mycket avfall producerar en genomsnittlig mjölkko på en dag?,NUM
Vilken nobelpristagare utvisades från Filippinerna före konferensen om Östtimor?,HUM
Vilken kvinna har fött flest flerfödda| tvillingar| trillingar osv.?,HUM
Hur många minuter fanns det på den ursprungliga GE College Bowl-klockan?,NUM
Vad är den genomsnittliga tiden det tar för en man att ejakulera?,NUM
Vad är webbplatsen för Internationella domstolen?,LOC
Var ligger 8 av de 10 högsta bergen i världen?,LOC
Var kan jag titta på en evig kalender?,LOC
Hur många astronauter har varit på månen?,NUM
Vilket år inträffade Bounty-myteriet?,NUM
"Vilket är det enda ämnet som ger maten sin ""smak"" när den äts?",ENTY
Hur refererar du till en webbplats?,DESC
Vad är Pandoro?,DESC
"Vad står bokstäverna ZIP för i frasen ""ZIP kod""?",ABBR
Vilken Bourbon-kung återställdes till den franska tronen under Napoleons abdikation?,HUM
Vilken är en av de städer som University of Minnesota ligger i?,LOC
"Vad är texten till ""My Way"" skriven av Paul Anka?",DESC
Hur installerar jag ett klinkergolv?,DESC
Vad är det snabbaste och enklaste sättet att få nagellack ur kläderna?,ENTY
Varför uppfanns dragkedjan?,DESC
Vad är den största mördaren i industriländer?,ENTY
Namnge fyra berömda tecknade katter.,ENTY
Vilken dotter till Henry VIII och Anne Boleyn blev drottning av England?,HUM
"Hur kom ""stat"" att användas som ett uttryck för snabbt?",DESC
Vilket är det vanligaste smeknamnet för amerikanska college-fotbollslag?,HUM
Vad skiljer USA: s högsta domstol Thurgood Marshall?,DESC
Vilken är den mest användbara webbplatsen på Internet?,LOC
Vilken är världens högsta topp?,LOC
Vad var en Mae West på ett andra världskrigsslagskepp?,DESC
Definiera kosmologi.,DESC
Vilken komiker stal föreställningen från Dwight D. Eisenhowers första invigning genom att föda sitt första barn?,HUM
Vad är minnesvärden?,DESC
När spelades de olympiska spelen där Nadia Comaneci blev populär?,NUM
Var ligger Hearst Castle| byggt av utgivaren William Randolph Hearst?,LOC
Vilken är den största amerikanska staden på Great Lakes?,LOC
Vem sjöng om Desmond och Molly Jones?,HUM
Vilken tidning ger oss grädden| inte skummet?,ENTY
"Vad producerar tekniken som kallas ""kall fusion""?",ENTY
Vilken kostymdesigner bestämde att Michael Jackson bara skulle ha på sig en handske?,HUM
"Vilket versmått använde Shakespeare när han skrev: """"Att vara eller inte vara| det är frågan ...""""?",ENTY
Hur många rader med kugghjulshål har en rulle med 35 millimeter film?,NUM
Vad är getpopulationen i världen?,NUM
Vilket företag var den ursprungliga sponsorn av TV: s Superman?,HUM
Vilken term använder en tjeck för att beskriva en pol?,ENTY
Vilket hav skiljer Neapel och Alger?,LOC
Hur många advokater finns det i delstaten New Jersey?,NUM
Vilka är de vanligaste elementen i havsvatten?,ENTY
Beskriv den finska musikpersonligheten Salonens utseende.,DESC
"Vad är ursprunget till den etniska kategorin ""kaukasisk""?",DESC
Vad är en stratocaster?,DESC
Vilken typ av vetenskap är kosmologi?,ENTY
Namnge den blinda skulptören som är kär i Fantastic Four's Thing.,HUM
Vilket är det näst lättaste elementet?,ENTY
"Vad kallar du en ""snurr"" i balett?",ENTY
Vad är daminozids varumärke?,ENTY
Vad är det tidigare namnet av Zimbabwe?,ENTY
Vilken superstjärna från National Basketball Association berättade sin historia i Giant Steps?,HUM
Vilka djur maskerade sig The Amazing Three som?,ENTY
Hur fick bikinin sitt namn?,DESC
När fick Fraze sitt första patent på dragfliken?,NUM
Hur många matcher spelas i en turnering med fem lag| alla möter alla?,NUM
Vem utvecklade det första poliovaccinet?,HUM
Vem gjorde den första bensinmotorn?,HUM
Vilket land hävdade Rubens| Van Dyck och Bruegel som medborgare?,LOC
Vilket inbördeskrig utkämpades mellan 1936 och 1939?,ENTY
Hur många frågor har du i din databas?,NUM
Hur bildas moln?,DESC
Var kan jag hitta exempel på rättsfall om lagen om utbildning för personer med funktionsnedsättning?,LOC
Vilken karaktär skapade Tex Avery först när han kom till MGM?,HUM
När var Triangle Shirtwaist branden?,NUM
Vilken asiatisk andlig och politisk ledare gifte sig vid 13 års ålder?,HUM
Var ligger Ocho Rios?,LOC
Vad är halveringstiden för P-32?,DESC
Vilket hav gränsar Mauretanien?,LOC
Varför sparar tryckkokare tid i köket?,DESC
Varför finns det 12 personer i en jury i brottmål?,DESC
Vad tror kristna forskare på?,DESC
Vilket första världskrig slag såg 60 trupper döda på en dag?,ENTY
Vilket land är Kosovo en del av?,LOC
Berätta för mig vilken stad Kentucky Horse Park ligger nära?,LOC
