text,verbose label,coarse label,fine label
"Vad är det riktiga namnet på discjockeyn "Wolfman Jack"?",HUM:ind,1,30
"Vilken italiensk linjefartyg kapades 1985?",ENTY:veh,3,26
"Vilken stad rymmer det amerikanska huvudkontoret Procter and Gamble?",LOC:city,0,32
"Vilken tvål annonserades som att vara "för människor som gillar människor"?",ENTY:product,3,19
"Hur mycket var minimilönen år 1991?",NUM:money,5,41
"Vad står NAFTA för?",ABBR:exp,4,1
"Vem uppfann silly putty?",HUM:ind,1,30
"Vilken ny mellanstadium byggdes i Philadelphia, Pennsylvania, förra året?",HUM:gr,1,29
"Vem patenterade den första fonografen?",HUM:ind,1,30
"Vilka är några tips för att bygga en eld i en öppen spis?",ENTY:techmeth,3,24
"Vad äter sjökor?",ENTY:food,3,13
"Hur säger man 2 på latin?",ENTY:termeq,3,25
"Vilka var några populära låtar på 1920-talet?",ENTY:cremat,3,9
"Hur många vietnameser fanns det i Sovjetunionen?",NUM:count,5,38
"Vad är novembers födelsesten?",ENTY:other,3,17
"Vad är en certifierad barnmorskesjuksköterska?",DESC:def,2,2
"Hur många mil är det i genomsnitt till månen?",NUM:count,5,38
"Vem skapade privatdetektiven Philip Marlowe?",HUM:ind,1,30
"Vilken Boris Pasternak-bok sålde 50 exemplar så den blev skönlitteraturbästsäljare 1958?",ENTY:cremat,3,9
"Vad är ursprunget till uttrycket "tout de suite"?",DESC:desc,2,3
"Vad är det längsta engelska ordet?",ENTY:word,3,27
"Vad är syftet med en bil-bh?",DESC:reason,2,5
"Vad är DB Cooper känd för?",DESC:reason,2,5
"Vem är Colin Powell?",HUM:desc,1,28
"Vilken art är en hingstföl?",ENTY:animal,3,6
"Vad är det fullständiga namnet på PLO?",ABBR:exp,4,1
"Vilket är det minsta landet i Afrika?",LOC:country,0,33
"Vem myntade termen cyberspace i sin roman "Neuromancer"?",HUM:ind,1,30
"Vilken ålder följde bronsåldern?",ENTY:event,3,12
"Vad är hennes yrke?",HUM:title,1,31
"Vad är det fullständiga namnet på mannen som uppfann den mångfärgade spelkuben som har 42,3 kvintillioner potentiella kombinationer?",HUM:ind,1,30
"Vad betyder ordet LASER?",ABBR:exp,4,1
"Vad betyder namnet "Anthony"?",DESC:def,2,2
"Vem var Lauren Bacalls första make?",HUM:ind,1,30
"Vad är en rhomboideus minor?",DESC:def,2,2
"Hur många händer använder Björn Borg när han slår forehand?",NUM:count,5,38
"Hur många människor dog på D-dagen?",NUM:count,5,38
"Vilken amerikansk kongressledamot sade: ""Behåll tron, älskling"".",HUM:ind,1,30
"Vem skapade karaktären Scrooge?",HUM:ind,1,30
"Vad är studentpopulationen vid University of Massachusetts i Amherst?",NUM:other,5,43
"Var ligger Windsor Castle?",LOC:other,0,35
"När nådde Dow Jones först 1000?",NUM:date,5,39
"Varför rekryterades människor för Vietnamkriget?",DESC:reason,2,5
"Vilket parti var Winston Churchill medlem i?",HUM:gr,1,29
"Vilket amerikanskt basebollag sämsta placering mellan 1926 och 1964 var fjärde?",HUM:gr,1,29
"Var kan jag hitta namnen på alla 15 Pokémon?",LOC:other,0,35
"Vilken stat bor Martha Stewart i?",LOC:state,0,36
"Vilken späckhuggare dog vid Sea World av en svampinfektion?",ENTY:animal,3,6
"Vilka är Benelux-länderna?",LOC:country,0,33
"Var är den förstenade skogen?",LOC:other,0,35
"Vad är ett språk som talas av Sioux?",ENTY:lang,3,15
"Var ligger Tornado Alley?",LOC:other,0,35
"Vem var författaren till "John Browns kropp"?",HUM:ind,1,30
"Vilken amerikansk poet skrev: "Bra staket gör bra grannar"?",HUM:ind,1,30
"Vilken stat i USA har flest svarta?",LOC:state,0,36
"Varför är elbilar mindre effektiva i nordost än i Kalifornien?",DESC:reason,2,5
"Vad var Mandy Rice-Davies yrke?",HUM:title,1,31
"Hur heter staden Maurizio Pellegrin bor?",LOC:city,0,32
"Vem målade Sixtinska kapellet?",HUM:ind,1,30
"Namnge de olika utklädda personorna till Dr. Henry Pym.",HUM:ind,1,30
"Vilken hundras var "Little Rascals" -hunden?",ENTY:animal,3,6
"Vad är levnadsförhållandena på Kuba?",DESC:desc,2,3
"Vilken färg har skolbussar?",ENTY:color,3,8
"Vilken är den äldsta webbplatsen på Internet?",LOC:other,0,35
"Vilka händelser hände den 26 januari 1978?",ENTY:event,3,12
"Vilka upptäcktsresande följde Columbus till Amerika?",HUM:ind,1,30
"Vem är skådespelerskan Goldie Hawns nuvarande skådespelarpojkvän?",HUM:ind,1,30
"Vem förbjöd Peter Rose från baseboll för att ha satsat på spel?",HUM:ind,1,30
"Vilka är de sju dygderna?",DESC:def,2,2
"Vilket annat namn var "Little Rascals" kända som?",ENTY:termeq,3,25
"När var San Francisco-branden?",NUM:date,5,39
"Vad är en rädsla för mat?",ENTY:dismed,3,11
"Hur många kasinon finns i Atlantic City, NJ?",NUM:count,5,38
"Vilket år slutade Vietnamkriget?",NUM:date,5,39
"Vad heter Richard Nixons två döttrar?",HUM:ind,1,30
"Vad är ordet för brutet glas eller skarpa stenar inbäddade i cement ovanpå en vägg?",ENTY:word,3,27
"Vad är kromosomnumret för en elefant?",NUM:count,5,38
"Vilken organisation grundades av pastor Jerry Falwell?",HUM:gr,1,29
"Vilken är den längsta floden i världen?",LOC:other,0,35
"Vilken läsk annonserar Madonna för?",ENTY:food,3,13
"Vilket företag köps av Yahoo och hur mycket är affären värd?",HUM:gr,1,29
"När uppfördes Berlins Brandenburggrind?",NUM:date,5,39
"Hur många dubbla ord-poäng finns det på ett Alfapetspelbräde?",NUM:count,5,38
"Vilket år undertecknade Tyskland sin icke-angreppspakt med Sovjetunionen?",NUM:date,5,39
"Vilken bergskedja korsar av den högsta järnvägen i världen?",LOC:mount,0,34
"Varför hette de amerikanska soldaterna i första världskriget "Doughboys"?",DESC:reason,2,5
"Vem fick smeknamnet The Little Corporal?",HUM:ind,1,30
"Hur många CD-skivor har Garth Brooks sålt?",NUM:count,5,38
"Namnge fartyget som används av Atari Force i DC-serierna.",ENTY:veh,3,26
"Var är de ledande medicinska grupperna specialiserade på lungsjukdomar?",LOC:other,0,35
"Hur kan jag hitta stavning- och skiljeteckenövningar för min 6:e klassare online?",DESC:manner,2,4
"Vilken är Indiens heliga flod?",LOC:other,0,35
"Vilket är Stefan Edbergs hemland?",LOC:country,0,33
"Vilken är den enda körteln hos människor som kan regenerera sig själv?",ENTY:body,3,7
"Hur många Gutenberg-biblar finns det?",NUM:count,5,38
"Namnge det största landet i Sydamerika.",LOC:country,0,33
"Vilket astronomiskt fenomen äger rum i januari 1999?",ENTY:event,3,12
"Vilken information kan du ge mig om Fairground Park i St. Louis",DESC:desc,2,3
"Vad var den amerikanska folkhjälten John Chapmans smeknamn?",HUM:ind,1,30
"Vad är skillnaden mellan en median och ett medelvärde?",DESC:desc,2,3
"Vilken var den bästa filmen i april 1998?",ENTY:cremat,3,9
"Vad orsakar åska?",DESC:reason,2,5
"Vilken författare kallade fotografen Yousuf Karsh "den blygaste mannen jag någonsin träffat"?",HUM:ind,1,30
"Vilken är den största klockan, diametervis, i Europa?",ENTY:other,3,17
"Vilken växt är rom gjord av?",ENTY:plant,3,18
"Vilket land kommer Godiva-choklad från?",LOC:country,0,33
"Namnge poeten för dikten som börjar: Jag vet inte mycket om gudar; men jag tror att floden är en stark gud och otämd?",HUM:ind,1,30
"Vilken krydda såldes en gång som ett patentläkemedel?",ENTY:food,3,13
"Vilken amerikansk stat registrerar minst nederbörd?",LOC:state,0,36
"Varför gick världen in i en global depression 1929?",DESC:reason,2,5
"Vad var archy och mehitabel?",DESC:def,2,2
"Vilken stad i Texas fick sitt namn från spanska för "gul"?",LOC:city,0,32
"Vilka är kemikalierna som används i glödstift?",ENTY:substance,3,22
"från vilket land härstammar Nilen?",LOC:country,0,33
"Vilken färg har tennisbollar?",ENTY:color,3,8
"Vilken domare kallade sig The Law West of the Pecos?",HUM:ind,1,30
"Vilken ursäkt gav Nato-folket för att attackera den kinesiska ambassaden?",DESC:desc,2,3
"Vem var Costa Rica president 1994?",HUM:ind,1,30
"Vilket sportevenemang ska Meyer Wolfsheim ha fixat i The Great Gatsby?",ENTY:sport,3,21
"Vilket land har den bästa defensiva positionen i brädspelet Diplomati?",LOC:country,0,33
"Vilka två länder delar Khyber Pass?",LOC:country,0,33
"Vem var ordförande för senatens utvalda kommitté som försökte komma till botten av Watergate?",HUM:ind,1,30
"Vad är ursprunget till efternamnet Braun?",DESC:desc,2,3
"Vilket kortspel har variationer som heter Canfield, Klondike och Spider?",ENTY:sport,3,21
"Vad är Australiens dag?",DESC:def,2,2
"Vilket däggdjur i Nordamerika har världens längsta livslängd för sin storlek?",ENTY:animal,3,6
"Vad var Chivington-massakern?",DESC:def,2,2
"Vilken skådespelare spelade huvudrollen i 1980:s Blue Lagoon, The Pirate Movie från 1982 och A Night in Heaven från 1983?",HUM:ind,1,30
"Hur många home runs hade Lou Gehrig under sin karriär?",NUM:count,5,38
"I vilken stad ligger Sinn Feins huvudkontor?",LOC:city,0,32
"Var hittar jag information om George Bush?",LOC:other,0,35
"Vem är rösten för Miss Piggy?",HUM:ind,1,30
"Vad heter dialogcirkeln i tecknade serier?",ENTY:termeq,3,25
"Vad betyder ordet camaro, från GM-bilen Camaro?",DESC:def,2,2
"Vem ersatte Bert Parks som värd för The Miss America Pageant?",HUM:ind,1,30
"Hur många pojkar spelar spelet i Winslow Homers 1872-målning Snap the Whip?",NUM:count,5,38
"Vad är AIM-54C Phoenix?",DESC:def,2,2
"När klipps får?",NUM:date,5,39
"Vilken sport är Chris Jogis en toppspelare av?",ENTY:sport,3,21
"Vilken är den näst största ön i världen?",LOC:other,0,35
"Vad är definitionen av en låg ö?",DESC:def,2,2
"Vilket århundrade bor Captain Video i?",NUM:date,5,39
"Vilka typer av vattenföroreningar finns det?",ENTY:other,3,17
"Hur många astronauter bemannade varje Project Mercury-flyg?",NUM:count,5,38
"Vilken läsk skulle ge mig det största intaget av koffein?",ENTY:food,3,13
"Vad heter en golfbana i Myrtle Beach?",ENTY:other,3,17
"Vilka är några av de viktiga historiska händelserna på 1990-talet?",ENTY:event,3,12
"Namnge den enda kvarvarande trilogin av klassiska grekiska pjäser.",ENTY:cremat,3,9
"Var ligger Logan flygplats?",LOC:other,0,35
"Vad är skillnaden mellan neoklassisk konst och romantisk konst?",DESC:desc,2,3
"Vem var den första personen som infördes i US Swimming Hall of Fame?",HUM:ind,1,30
"Vilken golfare har kallats Ohio Fats och Blobbo?",HUM:ind,1,30
"Vem mördade Leno och Rosemary LaBianca den 1 augusti?",HUM:ind,1,30
"Vad är den genomsnittliga kostnaden för fyra års läkarutbildning?",NUM:money,5,41
"Vad skapar Gud i Bibelns första mening?",ENTY:other,3,17
"Vilken av följande män var inte gift med Rita Hayworth?",HUM:ind,1,30
"Vad är det aktuella biljettpriset från Kairo till Barbados?",NUM:money,5,41
"Vad betyder Mc när det används som ett prefix i irländska efternamn?",ABBR:exp,4,1
"Hur hittar du oxidationsnummer?",DESC:manner,2,4
"Vad är det statliga smeknamnet för Mississippi?",LOC:state,0,36
"Vad är Black Hills, South Dakota mest känt för?",DESC:reason,2,5
"Vilket bomberrombom från 1966 tog astronauter tillbaka till förhistorisk tid?",ENTY:cremat,3,9
"Hur många studenter går på University of Massachusetts?",NUM:count,5,38
"Vem sa, "Jag ska återvända" under andra världskriget?",HUM:ind,1,30
"Vilka helgdagar firas i Irland?",ENTY:event,3,12
"Vem porträtterade Etta Place, följeslagare till Butch Cassidey och Sundance Kid?",HUM:ind,1,30
"Vilka är de grekiska siffrorna?",DESC:def,2,2
"Vad heter templet som ligger nära huvudstaden Laos?",LOC:other,0,35
"Vad är en rädsla för sömn?",ENTY:dismed,3,11
"Vilket bilrace var Wilbur Reed den första som vann tre gånger?",ENTY:sport,3,21
"Vilka är de vanligaste avelsfåglarna i USA?",ENTY:animal,3,6
"Vad organiserades som en konfedererad veteraners sociala klubb i Pulaski, i Tennessee, 1866?",ENTY:event,3,12
"Hur hittar man kriminella register på Internet?",DESC:manner,2,4
"Var är skådespelerskan, Marion Davies, begravd?",LOC:other,0,35
"Vad är ett exempel på ett faktiskt fall av att använda det fjortonde ändringsförslaget?",DESC:desc,2,3
"Vem var Charlies parfymkvinna?",HUM:ind,1,30
"Vem porträtterade "Rosanne Rosanna-Dana" i tv-programmet "Saturday Night Live"?",HUM:ind,1,30
"Vilken sångare blev förtvivlad över Freddie Prinzes död, slutade med showbranschen och slutade sedan med verksamheten?",HUM:ind,1,30
"När invaderade irakiska trupper Kuwait?",NUM:date,5,39
"Vad hänvisade Mark Johnson till när han sa: "Jag kan fortfarande inte tro det - vi slog ryssarna"?",ENTY:termeq,3,25
"Vilken bil kördes i 1990-versionen av "Smokey and the Bandit"?",ENTY:product,3,19
"Vad var bakgrundssånggruppen för Roy Rogers?",HUM:gr,1,29
"Vilken berömd sjungande cowboy äger baseballlaget California Angels?",HUM:ind,1,30
"Vilken film från 1915 var den första som tjänade 5 miljoner dollar?",ENTY:cremat,3,9
"Var kom termen "86" ifrån?",DESC:desc,2,3
"Vad får någon att vara kittlig?",DESC:reason,2,5
"Vad är sannolikheten för att minst 2 av 25 personer ska ha samma födelsedag?",NUM:perc,5,44
"Hur många kanadensare utvandrar varje år?",NUM:count,5,38
"Varför tog flera San Diego-skolor bort äpplen från studentmenyerna?",DESC:reason,2,5
"Vilket musikinstrument spelade Sherlock Holmes?",ENTY:instru,3,14
"Vem var Gerald Fords vice president?",HUM:ind,1,30
"Vad är "den tvättade vodkan"?",DESC:def,2,2
"Hur många olika språk talas i Europa?",NUM:count,5,38
"Vilket år tilldelades Desmond Mpilo Tutu Nobels fredspris?",NUM:date,5,39
"Vad är en "dricksandningsapparat" bättre känd som?",ENTY:termeq,3,25
"Vem uppfann batterier?",HUM:ind,1,30
"Varför rekommenderar receptböcker att börja med kallt vatten när du kokar något?",DESC:reason,2,5
"Var kan jag köpa en bra snowboard för mindre än $200?",LOC:other,0,35
"Vilken titel antog Suzette Charles i två månader 1984?",HUM:title,1,31
"Vad var den ökända pseudonymen för Peter Sutcliffe?",HUM:ind,1,30
"Vad är Smokey The Bears mellannamn?",ENTY:animal,3,6
"Vad är Nicholas Cages yrke?",HUM:title,1,31
"Vilken brittisk tv-serie presenterade Emma Peel?",ENTY:cremat,3,9
"Vilken Londongata är den brittiska journalistikens hem?",LOC:other,0,35
"Vilken tragedi drabbade staden Dogtown 1899?",ENTY:event,3,12
"Vad är den obefläckade befruktningen?",DESC:def,2,2
"Vad heter alla amerikanska flottans hangarfartyg?",ENTY:veh,3,26
"Vilket format var VHS huvudkonkurrent?",ENTY:other,3,17
"Vad är Candlemas Day?",DESC:def,2,2
"I vilken stad ligger den berömda Markusplatsen?",LOC:city,0,32
"Vad kallar Ouarterly Review of Doublespeak ett "inoperativt uttalande"?",ENTY:termeq,3,25
"Hur mycket uppgick minimilönen till 1991?",NUM:money,5,41
"Var ligger Tufts University?",LOC:other,0,35
"Vad är en pyroteknisk skärm?",DESC:def,2,2
"Hur får jag reda på jobb?",DESC:manner,2,4
"Vilken japansk tillverkare är känd för både pianon och motorcyklar?",HUM:gr,1,29
"Vad är argons kemiska reaktivitet?",NUM:other,5,43
"Hur många motorer har en Boeing 737?",NUM:count,5,38
"Vad är ursprunget till termen "The Brooklyn Side" i bowling?",DESC:desc,2,3
"Vad är en rädsla för att bli kall?",ENTY:dismed,3,11
"Hur lång var Maos långa marsch 1930?",NUM:dist,5,40
"Vilket nätspel ser sina kvinnliga amatörvärldsmästare ta emot Uber Cup?",ENTY:sport,3,21
"Vilken fyrbent varelse sade en Cornell University-studie att skulle göra människans bästa följeslagare i rymden?",ENTY:animal,3,6
"Vad väger en tesked materia i ett svart hål?",NUM:weight,5,49
"Vad satte brittiska företag 1750 ton te i 1982?",ENTY:other,3,17
"Vilken provins ligger Edmonton i?",LOC:state,0,36
"Hur kan jag ta reda på hur mycket inkomstskatt som betalas av socialförsäkringsinkomster på 1998 års inkomstskatt?",DESC:manner,2,4
"Vem efterträdde Sonny Liston som världsmästare i tungviktsboxning?",HUM:ind,1,30
"Vad är Kaliforniens statsfågel?",ENTY:animal,3,6
"Vad är Martin Luther King Jr.s födelsedag?",NUM:date,5,39
"Namnge de olika superlag som ängeln har tillhört.",HUM:gr,1,29
"Hur utför Zatanna sin magi i DC-serier?",DESC:manner,2,4
"Vad heter Jacques Cousteaus forskningsfartyg?",ENTY:veh,3,26
"Vilken president skickade en kryssare för att bära Charles Lindbergh hem efter sin episka flygning?",HUM:ind,1,30
"Vems video heter Shape Up with Arnold?",HUM:ind,1,30
"I vilken Kevin Costner-film spelade Sioux Indians en roll?",ENTY:cremat,3,9
"Hur många James Bond-romaner finns det?",NUM:count,5,38
"Hur får du en dejt med "Hooters" -tjejerna?",DESC:manner,2,4
"Vilken fågel kan simma men inte flyga?",ENTY:animal,3,6
"Hur kan jag få en seriefigur som jag skapat upphovsrättsskyddad och publicerad?",DESC:manner,2,4
"Hur stor är den arktiska tillflyktsorten för att bevara unikt djurliv och vildmarksvärde på Alaskas nordkust?",NUM:volsize,5,48
"Vad är Plc?",DESC:def,2,2
"Hur mycket el behöver hjärnan för att fungera?",NUM:count,5,38
"Hur många tunnland på en mil?",NUM:count,5,38
"I vilken Dickens-roman för David med sig meddelandet "Barkis är villig" till Peggy?",ENTY:cremat,3,9
"Vad är en hyperlänk?",DESC:def,2,2
"Vem är tvillingbror till den grekiska gudinnan Artemis?",HUM:ind,1,30
"Var kom marijuana ifrån?",DESC:desc,2,3
"Vad är inkomsten per capita i Colombia, Sydamerika?",NUM:money,5,41
"Vilken roman har Big Brother vakandes?",ENTY:cremat,3,9
"Hur många Grammys vann Michael Jackson 1983?",NUM:count,5,38
"Vad betyder Elysium?",DESC:def,2,2
"Vilken är den äldsta webbplatsen på Internet?",LOC:other,0,35
"Vad är Shalom?",DESC:def,2,2
"Vilken var favoritsporten i Tom Wolfes The Pump House Gang?",ENTY:sport,3,21
"Vilket organiskt bränsle använder myrboarna en "slane" för att skära?",ENTY:substance,3,22
"Vad är medelåldern för en medlem i teamet som arbetade med Manhatten-projektet?",NUM:period,5,45
"Vilket land fick alla Nobelpriserna som delades ut 1976?",LOC:country,0,33
"Hur blir man av med hackspett?",DESC:manner,2,4
"Hur många stavelser finns det i en rad med hendekasyllabisk poesi?",NUM:count,5,38
"Vilken läsk uppträdde först i Old Corner Drug Store i Waco, Texas, 1885?",ENTY:food,3,13
"Vad besitter Storbritanniens på det kinesiska fastlandet?",LOC:other,0,35
"Vem var Amerikas första offentliga fiende nr 1?",HUM:ind,1,30
"Hur många barn under 18 år är offer för någon form av fysiskt missbruk varje år?",NUM:count,5,38
"Vad är ursprunget till tackanteckningar?",DESC:desc,2,3
"Vad uppfann Jimmy Stewart?",ENTY:other,3,17
"Vilken generation är jag i?",ENTY:other,3,17
"Vad är en rädsla för helvetet?",ENTY:dismed,3,11
"Vem är Dear Abby?",HUM:desc,1,28
"Vem bor på 24 Sussex Drive, Ottawa?",HUM:ind,1,30
"Vad är Jell-O gjord av?",ENTY:substance,3,22
"Vem var Monet?",HUM:desc,1,28
"Vilka är de enda två stater som införlivar den konfedererade stridsflaggan i sina flaggor?",LOC:state,0,36
"Hur gör man panorama-sockerägg till påsk - de med scenen inuti?",DESC:manner,2,4
"Vad är den södra maträtten gjord av grisars tunntarmar?",ENTY:food,3,13
"Var ligger Guam?",LOC:other,0,35
"Vem var den berömda dörr-till-dörr borstsäljaren?",HUM:ind,1,30
"Vad är verkställaren i ett testamente?",DESC:def,2,2
"Vilken oundviklig leverantör av bakgrundsmusik firade sitt 5-årsjubileum i juli 1984?",HUM:gr,1,29
"Hur många människor i Amerika snarkar?",NUM:count,5,38
"Vem försöker alltid få hyran från Andy Capp?",HUM:ind,1,30
"Vilken läsk är mest koffeinhaltig?",ENTY:food,3,13
"Vem gav Jackie Kennedy som uppdrag att skriva The Death of a President?",HUM:ind,1,30
"Vilket läkemedel används ofta för att behandla aids?",ENTY:dismed,3,11
"Hur många stjärnor finns det på Sovjetunionens flagga?",NUM:count,5,38
"Vad är skillnaden mellan mikroprocessorer och mikrokontroller?",DESC:desc,2,3
"Vem försökte skapa The Great Society?",HUM:ind,1,30
"Vilka är turistattraktionerna i Reims?",LOC:other,0,35
"Vad är längden på pärlhalsband?",NUM:dist,5,40
"Vem sa: "Soldater vinner striderna och generalerna får krediten"?",HUM:ind,1,30
"Vad är beviset på att krukväxter metaboliserar cancerframkallande ämnen?",DESC:desc,2,3
"Vad fick motpiloten för Enola Gay att bara skriva in "My God" i sin logg?",DESC:reason,2,5
"Hur lång tid tar den typiska höna att lägga 19 dussin ägg?",NUM:period,5,45
"Vilken stad i Colorado äger sin egen glaciär?",LOC:city,0,32
"Vad är historien om "toasten"?",DESC:desc,2,3
"Vad hette den protestantiska revolten mot påvens överlägsenhet?",ENTY:event,3,12
"Vad är en arabisk rem?",DESC:def,2,2
"Hur mycket kostar det, genomsnitt eller vad som helst som är tillgängligt, att producera och skicka skräppostkataloger i USA?",NUM:money,5,41
"Vem är FN: s nuvarande generalsekreterare?",HUM:ind,1,30
"Vem tillhandahåller telefontjänster i Orange County, Kalifornien?",HUM:gr,1,29
"Var har marsvin sitt ursprung?",LOC:other,0,35
"Vilka två länders kustlinjer gränsar till Biscayabukten?",LOC:country,0,33
"Varför rakade egyptierna ögonbrynen?",DESC:reason,2,5
"Vilken organisation tilldelade Mr. Waverly agenter för?",HUM:gr,1,29
"När uppfanns slinkyn?",NUM:date,5,39
"Vad är karaktärernas namn i Scooby-Doo-serien?",HUM:ind,1,30
"Vad är en rädsla för kyla?",ENTY:dismed,3,11
"Vad var Eduard Shevardnadzes jobb i Sovjetunionen?",HUM:title,1,31
"Vad orsakar rost?",DESC:reason,2,5
"Vilken är den enda Dick Tracy-skurken som dyker upp tre gånger?",HUM:ind,1,30
"Vad var monsteret i Spielbergs film "Jaws"?",ENTY:animal,3,6
"Vilken färg har en räv på vintern?",ENTY:color,3,8
"Vad betyder namnen Neil, Mary och Anthony?",DESC:def,2,2
"Vilken europeisk huvudstad firade sitt 2 000-årsjubileum 1951?",LOC:city,0,32
"Varför säger människor på Michagins övre halvö "va??",DESC:reason,2,5
"Vilken blomma målade Vincent Van Gogh?",ENTY:plant,3,18
"Vilket land var omgivningen för You Only Live Twice?",LOC:country,0,33
"Vad var Thatchers opininonssiffror efter 10 år vid makten?",NUM:perc,5,44
"Nalle Puh är vilken typ av djur?",ENTY:animal,3,6
"Vad var den första Funk'N Lata, brasilianska gruppen, framgång?",DESC:desc,2,3
"Vad är en handdator?",DESC:def,2,2
"Vad gjorde John Hinckley för att imponera på Jodie Foster?",DESC:desc,2,3
"Vad är Larry Kings jobb?",HUM:title,1,31
"Hur många kalorier finns i en tomat?",NUM:count,5,38
"I vilken stat grundades den första samskolan?",LOC:state,0,36
"Vilket krig såg en sjöstrid mellan lyxfartygen Cap Trafalgar och Carmania?",ENTY:event,3,12
"Vad är behandlingen för depression?",ENTY:techmeth,3,24
"Vad är en rädsla för slem?",ENTY:dismed,3,11
"Vilket land i Latinamerika är det största?",LOC:country,0,33
"På vilken hawaiiska ö ligger Pearl Harbor?",LOC:other,0,35
"Vilka fjädrade seriefigurer känner jugoslaverna som Vlaja, Gaja och Raja?",HUM:ind,1,30
"Vilken film från Marx Brothers handlar om en stulen målning?",ENTY:cremat,3,9
"Vad var ovanligt med Alexandras framträdande i Josie and the Pussycats?",DESC:desc,2,3
"Vad är ursprunget till ordet "sinne"?",DESC:desc,2,3
"När föddes Dick Clark?",NUM:date,5,39
"Vilket spel är dödligt för någon över 21?",ENTY:sport,3,21
"Hur många människor dör av tuberkulos?",NUM:other,5,43
"Vad hände med Moon Maiden?",DESC:desc,2,3
"Vilken stad är wiener schnitzel namngiven efter?",LOC:city,0,32
"Vad är Ural?",DESC:def,2,2
"Hur kan du stoppa klåda från Poison Ivy?",DESC:manner,2,4
"Vilken öken har de högsta sanddynerna?",LOC:other,0,35
"Vilka två länder innehåller Sierra Nevada-bergen?",LOC:country,0,33
"Hur säger du till dina föräldrar att du träffar en äldre man?",DESC:manner,2,4
"Hur länge skulle TV-uppdraget från Star Treks Enterprise vara?",NUM:period,5,45
"Vilket telefonnummer kan jag ringa för att få ett träd planterat?",NUM:code,5,37
"När blev "Star-Spangled Banner" nationalsången?",NUM:date,5,39
"Vem var Lacan?",HUM:desc,1,28
"Vilka är de fyra naturliga hjälpmedel som används vid ridning?",ENTY:techmeth,3,24
"Vilket kontinentnamn visas i det övre vänstra hörnet av en Budweiser-etikett?",LOC:other,0,35
"Vem var krigsminister i inbördeskriget under slaget vid Gettysburg?",HUM:ind,1,30
"Vem slog Bobby Fischer för att vinna världsmästerskapet i schack?",HUM:ind,1,30
"Hur utrotar du bin som finns i väggarna i ditt hem?",DESC:manner,2,4
"Var kan jag få information och statistik om länder och nationer?",LOC:other,0,35
"Namnge ett gaeliskt språk.",ENTY:lang,3,15
"Vilken dag är 13 augusti 1971?",NUM:date,5,39
"Var kan jag hitta en lista över alla företag i Amerika som erbjuder en direkt aktieköpsplan?",LOC:other,0,35
"Hur skickar man ett filmavskrift till Hollywood så att det kan produceras till en film?",DESC:manner,2,4
"Vilken litteraturklassiker fokuserar på sökandet efter en guldskatt värt 7,0 pund?",ENTY:cremat,3,9
"Vad är ursprunget till blått för pojkar och rosa för flickor?",DESC:desc,2,3
"Vad heter Michelangelo-målningen som visar två händer med fingrarna vidrörande?",ENTY:cremat,3,9
"Hur stor är en kvart?",NUM:volsize,5,48
"Vad är Hub of London?",DESC:def,2,2
"Jude Law spelade i vilken film?",ENTY:cremat,3,9
"Vad orsakar panikattacker?",DESC:reason,2,5
"Vad var fyllnaden i de första golfbollarna?",DESC:def,2,2
"Vilket läkemedel blev Sigmund Freud fascinerad av när han experimenterade med behandlingen av neurasteni?",ENTY:dismed,3,11
"Vilket land var en hemsk skönhet för Leon Uris?",LOC:country,0,33
"Vad är tyfusfeber?",DESC:def,2,2
"Var kan jag köpa en hatt som den typ Jay Kay från Jamiroquai bär?",LOC:other,0,35
"Vad är tvillingstäderna?",DESC:def,2,2
"Vad heter Beethovens 9:e symfoni?",ENTY:cremat,3,9
"Namnge advokaten för Randy Craft.",HUM:ind,1,30
"Vilka frukostflingor gav dig "det bästa varje morgon"?",ENTY:food,3,13
"Vad står fru, fröken och fru för?",ABBR:exp,4,1
"Vad är Homelite Inc.-hemsidan?",LOC:other,0,35
"Vilket explosivt ämne får du genom att blanda kol, svavel och saltpeter?",ENTY:substance,3,22
"Vilken bergig region i världen är Lhasa Apso-hunden infödd till?",LOC:other,0,35
"Vilken cancer är ofta förknippad med aids?",ENTY:dismed,3,11
"Hur lång tid tar det ljuset att nå jorden från solen?",NUM:period,5,45
"Vem bor på 39 Stone Canyon Way?",HUM:ind,1,30
"Hur många frågor är det här?",NUM:count,5,38
"Vem spelade Humpty Dumpty i filmen Alice in Wonderland från 1933?",HUM:ind,1,30
"Vem är Karenna Gore, Al Gores äldsta dotter, gift med?",HUM:ind,1,30
"Vem spelade titelrollen i I Was a Teenage Werewolf?",HUM:ind,1,30
"Varför finns det oliver i martini?",DESC:reason,2,5
"Under vilket år fick Hitler makten i Tyskland?",NUM:date,5,39
"Vilket år målade Rossetti "Beata Beatrix"?",NUM:date,5,39
"Vilket skivbolag producerade filmen The Wiz från 1978?",HUM:gr,1,29
"Var kan jag hitta information om turné i Filippinerna?",LOC:other,0,35
"Vad spelade The Gas House Gang?",ENTY:other,3,17
"Hur många kvadratmeter är Bill Gates hem?",NUM:count,5,38
"Vad heter skådespelaren Rex Harrisons son, som spelade i en blygsamt populär TV-show under slutet av 1960-talet?",HUM:ind,1,30
"Vad är den högsta romerska siffran?",DESC:def,2,2
